rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
2 twin beds with monas view (2 Single),room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Standard Room Surroundings View,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Standard double or twin room with 2 twin beds,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
1 King Bed Non-Smoking Junior Suite Flat Screen Television Balcony View Wi-Fi Full Breakfast ,junior-suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,balcony,undefined,undefined
Deluxe Studio King,studio,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Standard Plus with sea view double ,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,sea view,undefined
3-BR suite,suite,undefined,private bathroom,undefined,undefined,not club,3 bedrooms,no balcony,undefined,undefined
Classic King Cabin 1 Double Bed,room,classic,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
1-BEDROOM APARTMENT,apartment,undefined,private bathroom,undefined,undefined,not club,1 bedroom,no balcony,undefined,undefined
Double Guestroom Landscape View - Best Flexible Rate,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Twin Room(with breakfast),room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Premium Single room with city view,room,premium,private bathroom,undefined,single,not club,undefined,no balcony,city view,undefined
Business Double Club room (full double bed),room,business,private bathroom,double/double-or-twin,double,club,undefined,no balcony,undefined,undefined
Round-bed Room Smoking allowed,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Standard Room Large Double(1 Amount),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Junior Suite - Garden View,junior-suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,garden view,undefined
FAMILY ROOM FAMILY ROOM,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
George V Signature Suite,suite,business,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Deluxe Double/Double Sofa (2 Double Beds and 1 Double Sofa Bed),room,deluxe,private bathroom,twin/twin-or-double,quadruple,not club,undefined,no balcony,undefined,undefined
"Family Room, 1 Double Bed, Non Smoking (with Sofabed) (1 Double Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Urban Double or Twin Room (2 Twin Beds),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Deluxe Double Sea Side View Room,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,partial-sea view,undefined
Junior Comfort Suite (1 Double Bed),junior-suite,comfort,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Family Room (2 Floors) (2 Double Beds),room,standard,private bathroom,twin/twin-or-double,quadruple,not club,undefined,no balcony,undefined,undefined
Double or Twin GRAND DELUXE,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Family Junior Suite BB - NRF,junior-suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Standard Room, Land view, With Balcony, Double or Twin",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,balcony,land view,undefined
"Triple Room, City View, ",room,standard,private bathroom,undefined,triple,not club,undefined,no balcony,city view,undefined
1 Bedroom Standard Quadruple room,room,standard,private bathroom,undefined,quadruple,not club,1 bedroom,no balcony,undefined,undefined
"Standard Room, Courtyard View,1 Queen Bed",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,courtyard view,undefined
"1 King Bed, Classic",room,classic,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"2-room standard apartment Mohovaya street, 26 double ",apartment,standard,private bathroom,double/double-or-twin,double,not club,2 bedrooms,no balcony,undefined,undefined
 twin room with balcony and private bathroom(Street view) (2 Single),room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,balcony,street view,undefined
Superior Suite (MANSARDA),suite,superior,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,attic floor
"1-room studio apartment Pererva str., 8, p. 1 double ",studio,undefined,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,undefined,undefined
Executive Studio EXECUTIVE STUDIO WITH KITCHENETTE,studio,executive,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Standard Single Bed,room,standard,private bathroom,single bed,single,not club,undefined,no balcony,undefined,undefined
superior family room (1 Double or 1 Twin),room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Double room with balcony (full double bed) (bed type is subject to availability),room,superior,private bathroom,double/double-or-twin,double,not club,undefined,balcony,undefined,undefined
Standard Room (1 Double or 2 Single),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Compact Single Room (1 Twin Bed),room,economy,private bathroom,single bed,single,not club,undefined,no balcony,undefined,undefined
Standard Double Queen Tokyo Tower Side,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Comfort apartment double,apartment,comfort,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
double Junior Suite El Beso,junior-suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Deluxe, , ",room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
STANDARD SUITE,suite,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Rover Room Breakfast Included,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"The Level, Room, 1 Queen Bed",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"single Classic Room, 1 King Bed",room,classic,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
DOUBLE EXECUTIVE(Non-Refundable) Non-Refundable Rate. No Amendments Permitted,room,executive,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Business Single Room, 1 Large Twin Bed",room,business,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Deluxe room with 1 double bed (breakfast included)  ,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Family Sextuple room (+ sofa),room,comfort,private bathroom,undefined,sextuple,not club,undefined,no balcony,undefined,undefined
Suite triple room double ,suite,undefined,private bathroom,double/double-or-twin,triple,not club,undefined,no balcony,undefined,undefined
Family Room (2 Twin Beds and 2 Twin Trundle Beds),room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Apartments King size bed,apartment,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Triple Luxury Couple,room,luxury,private bathroom,undefined,triple,not club,undefined,no balcony,undefined,undefined
FAMILY ROOM CAP 4,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Superior double  room,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Cosy (1 adult)(Non-Refundable) ,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
1 Double Standard Non Smoking,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
2 QUEENS W/ FRIDGE NONSMOKING,room,standard,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Suite room double ,suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Double with Breakfast, Non Smoking (separate breakfast charge for 5y/o and under)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Double Room (Stout) (1 Queen Bed),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Business Double Suite (full double bed) (bed type is subject to availability, transfer included)",suite,business,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Deluxe Double MLOS 3,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
ARMANI PREMIERE ROOM double,room,premier,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Family Room Superior1 Queen BedNonSmoking,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Standard Double room with courtyard view (full double bed) (+ sofa),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,courtyard view,undefined
single Deluxe Courtyard,room,deluxe,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Double Room with Two Double Beds - Free cancellation - Breakfast included in the price - Free WiFi,room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"1 Bedroom Deluxe Double Suite (full double bed) (queen size bed, jacuzzi)",suite,deluxe,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,undefined,undefined
"QUEEN GUEST ROOM,COMP WIFI/42 INCH FLAT SCREEN TV,WALKIN SHOWER/CRISP WHITE DUVET/REFRIGERATOR,",room,standard,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Junior suite DBL,junior-suite,undefined,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Basic Room (1 Double Bed),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Double room - Basic,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Superior Single Room, Sea View (1 Queen Bed)",room,superior,private bathroom,double/double-or-twin,single,not club,undefined,no balcony,sea view,undefined
APARTMENT-STUDIO NON REFUNDABLE RATE /WITHOUT BREAKFAST,studio,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Business Room, City View (1 Double Bed)",room,business,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
"Standard Shared Dormitory, Mixed Dorm (BaÃ±o privado) (10 Twin Bunk Beds)",dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Double Room, Ensuite (The Moffat),1 Double Bed,NonSmoking",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Essential Room,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Standart Oda Double(1 Amount),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Ocean Deluxe Room Breakfast,room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Deluxe King (DLK) 2ADT,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Executive Triple room (full double bed) (bed type is subject to availability),room,executive,private bathroom,double/double-or-twin,triple,not club,undefined,no balcony,undefined,undefined
"Superior Double or Twin Room, City View (2 Twin Beds)",room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
"Twin Room, Non Smoking (1 Twin Bed and 1 Double Bed)",room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
double Deluxe Room With Pool Access  (Lagoon Room),room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
DOUBLE SUPERIOR BC ,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior (2),room,superior,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
High Floor Skyline View King Bed,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,with view,undefined
Double Room RO Not Ref,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
DOUBLE SUPERIOR ROOM DOUBLE,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior room with the touch of Budapest - excl usive comfort with double bed Double room,room,comfort,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior  Room  _Double,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Executive Room with a double bed and a sofa ,room,executive,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Room 1 Double or 2 Twin Beds,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Twin/Double room - King Bed - Innside - City View Twin/Double room - King Bed - Innside - City View city,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
Doppia Classic Vista Giardino (1 Double Bed),room,classic,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Family room Basic rate with breakfast,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Standard Twin Basic rate with breakfast (payment at the hotel),room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
3 Bedrooms Cottage with balcony and with city view,cottage,undefined,private bathroom,undefined,undefined,not club,3 bedrooms,balcony,city view,undefined
"Deluxe Apartment, 1 Bedroom, Non Smoking, Tower 1 Queen Bed and 1 Queen Sofa Bed",apartment,deluxe,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,undefined,undefined
Deluxe Room Deluxe Room With Balcony (1 Double or 1 Twin),room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,balcony,undefined,undefined
Sweet Room with 1 Double Bed,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Panoramic Room,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,panoramic view,undefined
Double or Twin Room with Sea View and Parking,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,sea view,undefined
Standard 2-room,room,standard,private bathroom,undefined,undefined,not club,2 bedrooms,no balcony,undefined,undefined
Junior Attic Room with Velux windows (1 King Bed),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,attic floor
Superior Room with Sofa Breakfast,room,superior,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Spectacular Room King Double,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Room, 1 Double Bed",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Japanese Western Style Room with Japanese Futon, Mountain View,2 Twin Beds,NonSmoking",room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,mountain view,undefined
"Room, double or twin beds",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Accessible Double room - Accessible (1 Double),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Premier Chelsea,room,premier,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Superior Room, 2 Twin Beds (Novation) (2 Twin Beds)",room,superior,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"Executive Room, 2 Queen Beds, Non Smoking",room,executive,private bathroom,undefined,quadruple,not club,undefined,no balcony,undefined,undefined
DELUXE GARDEN DOUBLE OR TWIN,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,garden view,undefined
"Deluxe Triple Room, Sea View (2 ad + 1 chd), 1 Double Bed and 1 Twin Bed",room,deluxe,private bathroom,multiple,double,not club,undefined,no balcony,sea view,undefined
Standard Double Side Sea View Side Sea,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,partial-sea view,undefined
Standard King Room with Garden View - Mountain Side RO ,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,garden view,undefined
SUITE â6 SUMMER 2023 Price without breakfast,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
 superior twin (2 Single),room,superior,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Loft suite,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
DOUBLE DELUXE GUEST ROOM CITY VIEW,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
Double Double or Twin Room - Non-refundable - Free WiFi,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Southern Tower Room Southern Tower King (1 Double),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Deluxe Oda ÃÃ§ KiÅilik Single bed(3 Amount),room,deluxe,private bathroom,single bed,single,not club,undefined,no balcony,undefined,undefined
"Lanai Terrace with Free Benefits, 1 King Bed",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Queen Special,room,standard,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
2 Bedrooms Standard Quadruple Family room (single bed),room,standard,private bathroom,single bed,quadruple,not club,2 bedrooms,no balcony,undefined,undefined
Executive Villa,villa,executive,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
2-room superior apartment with terrace double ,apartment,superior,private bathroom,double/double-or-twin,double,not club,2 bedrooms,no balcony,undefined,undefined
DELUXE GARDEN VIEW-Breakfast,room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,garden view,undefined
Standard Triple Room (2 Twin Beds),room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
single La Mini - Non Refundable,room,standard,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Small Double room with city view (full double bed) (small),room,economy,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
Deluxe room (smoking),room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Double Room with double bed with the new Sweet bed by ibis,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Junior Suite Allure Junior Suite King,junior-suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
King Guest Room Nanhai Wing (1 King Bed),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
SUPERIOR TRIPLE ROOM (3+0) TRIPLE SUPERIOR ROOM,room,superior,private bathroom,undefined,triple,not club,undefined,no balcony,undefined,undefined
One Bedroom Villa with Private Deluxe Pool (1 King Bed),villa,deluxe,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,undefined,undefined
Double or Twin standard room (2 Single or 1 King),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Standard-mini  ,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Fairmont Gold Suite (lounge access),suite,classic,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Studio with One King Bed and Sofa Bed,studio,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Deluxe Sea View King,room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,sea view,undefined
ADA King,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
STANDARD ROOM SINGLE,room,standard,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Superior room Superior Room,room,superior,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Junior Suite /Building 1 Basic Rate with breakfast,junior-suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
DOUBLE OR TWIN POOL VIEW(Non-Refundable) Non-Refundable Rate. No Amendments Permitted,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,pool view,undefined
Standard Double Standard Room,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Superior Double or Twin Room,1 King Bed,NonSmoking",room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Classic Double Room (Classic) (1 King Bed),room,classic,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
lego friends themed room,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Medium Bedouin Room,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Classic King Double room,room,classic,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Standard business room  (Main Building),room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
SUPERIOR TERRACE ROOM,room,superior,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Studio with city view (kitchen),studio,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,city view,undefined
Superior Double room (single bed),room,superior,private bathroom,single bed,double,not club,undefined,no balcony,undefined,undefined
"Deluxe Room, Terrace, Sea View",room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,sea view,undefined
Classic Side Sea View Room (1 Twin Bed),room,classic,private bathroom,single bed,single,not club,undefined,no balcony,partial-sea view,undefined
Deluxe Twin Room BC ,room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Double/Twin 1 category Basic Rate with breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Business Room Double room - Business (1 Double),room,business,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Standard family room with 2 twin and 1 double bed (breakfast included)  ,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Deluxe King Room Bed and Breakfast,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Beach Bungalow (1 King Bed),bungalow,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Deluxe Family room with street view,room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,street view,undefined
"Family Room, 1 Double Bed with Sofa bed, City View (1 Double Bed and 1 Large Twin Sofa Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
"1 Double Bed, Non-Smoking, Executive Room",room,executive,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Classic Double Room,2 Twin Beds,NonSmoking",room,classic,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Grand Suite 2 Bedrooms Apartment (1 King Bed and 1 Double Bed),suite,grand,private bathroom,double/double-or-twin,undefined,not club,2 bedrooms,no balcony,undefined,undefined
Standard Queen Room Top floor non-smoking,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Deluxe Suite Double(1 Amount),suite,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Basic Apartment, 2 Bedrooms, Terrace, 4 Twin Beds",apartment,undefined,private bathroom,undefined,quadruple,not club,2 bedrooms,no balcony,undefined,undefined
"Standard Twin Room, 3 Twin Beds (3 Twin Beds)",room,standard,private bathroom,undefined,triple,not club,undefined,no balcony,undefined,undefined
Superluxe Basic rate with breakfast,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Executive Suite (1 King Bed and 2 Twin Sofa Beds),suite,executive,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
1 King Bed Sofabed Lake View Balcony Non-Smoking,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,balcony,lake view,undefined
TWIN EXECUTIVE ROOM WITH CITY VIEW,room,executive,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,city view,undefined
"DOUBLE SUPERIOR SUPERIOR DBL ROOM, B/B. BED & BREAKFAST. Non refundable",room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
APARTAMENT 2PAX,apartment,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Deluxe Twin Room, Sea View",room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,sea view,undefined
"Shared Dormitory, Mixed Dorm, Shared Bathroom (8) (4 Twin Bunk Beds)",dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Standard Twin Room Non smoking,room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
SUITE SIDE SEA VIEW (2AD+1CH) WITH BALCONY SUITE SIDE SEA VIEW (2AD+1CH) WITH BALCONY. FULL BOARD. Standard rate,suite,undefined,private bathroom,undefined,undefined,not club,undefined,balcony,partial-sea view,undefined
"Standard Double or Twin Room, Private Bathroom (1 Queen Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Double Room(1 Double Bed),room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"KING GUEST ROOM, 24SQM/55HDTV/COFFEE TEAFACILITIES/MINIBAR, WIFI/RAINSHOWER/WORK DESK/IRON/SAFE Single room",room,standard,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Suite (1 King Bed and 1 Queen Sofa Bed),suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Super Deluxe Suite, 1 Bedroom Suite, 2 Twin, Airport Transfer, Balcony Room Only",suite,deluxe,private bathroom,twin/twin-or-double,double,not club,1 bedroom,balcony,undefined,undefined
"Deluxe Oda, Single or Double/Twin Bed",room,deluxe,private bathroom,double/double-or-twin,single,not club,undefined,no balcony,undefined,undefined
Classic Triple Room - single occupancy,room,classic,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
"Basic Shared Dormitory, Mixed Dorm, Shared Bathroom (8 persons) (4 Twin Bunk Beds)",dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
single Comfort Double Or Twin Room,room,comfort,private bathroom,double/double-or-twin,single,not club,undefined,no balcony,undefined,undefined
Studio single room  ,studio,undefined,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Comfort Double Room   single occupancy   ,room,comfort,private bathroom,double/double-or-twin,single,not club,undefined,no balcony,undefined,undefined
